Titel,Url,Kaltmiete,Nebenkosten,Heizkosten,Gesamtmiete,Kaution o. Genossenschaftsanteile,Etage,Wohnfläche ca.,Zimmer,Schlafzimmer,Badezimmer,Personenaufzug,Einbauküche,Baujahr,Modernisierung/ Sanierung,Objektzustand,Heizungsart,Wesentliche Energieträger,Energieausweis,Energieausweistyp,Energieverbrauchskennwert,Anbieter,Adreese
Willkommen im Haus Cumberland am Ku'damm l exklusiv möblierter 2 Zimmer Wohntraum,https://www.immobilienscout24.de/expose/114922586,2.280 €,200 €,180 €,2.660 €,7500 EUR,4,86 m²,2,1,,True,True,1903,,Neuwertig,,Fernwärme,laut Gesetz nicht erforderlich,,,Inseriert auf ohne-makler.net,"Kurfürstendamm 193, 10719 Berlin, Charlottenburg (Charlottenburg)"
Erstbezug! Lichtdurchflutete 2 Zimmer mit Süd/Westbalkon,https://www.immobilienscout24.de/expose/115567943,"1.154,34 €","305,97 €","64,13 €","1.524,44 €",3463.02,5,"64,13 m²",2,1,1,True,True,2018,,Erstbezug,Fußbodenheizung,Fernwärme,liegt vor,Bedarfsausweis,,allod Immobilien- und Vermögensverwaltungsges. mbH & Co. KG Culemeyerstraße 2 12277 Berlin,"Lehrter Straße 23D, 10557 Berlin, Tiergarten (Tiergarten)"
"sanierte, großzügige 2 Zi.-Citywohnung am Kurfürstendamm",https://www.immobilienscout24.de/expose/115156984,1.061 €,"163,96 €",185 €,"1.409,96 €",3 Monatskaltmieten,6 von 4,"73,16 m²",2,,1,True,True,unbekannt,,,Zentralheizung,Fernwärme,,,,Du Chesne Immobilien GmbH Martin Luther Str 8 10777 Berlin,"10709 Berlin, Charlottenburg (Charlottenburg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
Prenzlauer Berg Kiez - 2 Zimmerwohnung mit Balkon - Tageslichtbad - Dielen - ca. 77 m² - 1040 € warm,https://www.immobilienscout24.de/expose/87991677,843 €,197 €,inkl. 33 €,1.040 €,3 x Nettokaltmiete,3,"77,22 m²",2,,,,,1901,,Modernisiert,Zentralheizung,Öl,liegt vor,Verbrauchsausweis,124 kWh/(m²*a),Stadthaus Verwaltungsgesellschaft mbH Franklinstr. 28/ 29 10587 Berlin,"Danzigerstraße 108, 10405 Berlin, Prenzlauer Berg (Prenzlauer Berg)"
Elegante 3-Zimmer-Wohnung mit hohem Wohnkomfort,https://www.immobilienscout24.de/expose/115545426,"1.600,13 €","177,65 €","97,75 €","1.875,53 €",4800.39,3 von 7,"106,25 m²",3,2,2,True,True,2009,,Gepflegt,Fußbodenheizung,Fernwärme,liegt vor,Verbrauchsausweis,,allod Immobilien- und Vermögensverwaltungsges. mbH & Co. KG Culemeyerstraße 2 12277 Berlin,"Seydelstr. 22, 10117 Berlin, Mitte (Mitte)"
Prenzlauer Berg Kiez - Tolle Singlewohnung - Laminat - Duschbad - ca. 36 m² - 602 € warm,https://www.immobilienscout24.de/expose/93297098,507 €,95 €,inkl. 16 €,602 €,3 x Nettokaltmiete,0 von 5,"36,06 m²",1,,,,,1901,zuletzt 2016,Modernisiert,Zentralheizung,Gas,liegt vor,Verbrauchsausweis,124 kWh/(m²*a),Stadthaus Verwaltungsgesellschaft mbH Franklinstr. 28/ 29 10587 Berlin,"Danziger Str. 108, 10405 Berlin, Prenzlauer Berg (Prenzlauer Berg)"
Einzug nach Modernisierung!!! Zauberhafte 3-Zimmerwohnung in ruhigen Pankow-Niederschönhausen,https://www.immobilienscout24.de/expose/115308986,1.283 €,261 €,inkl. 117 €,1.544 €,"Kaution: 2.566,00 EUR",2,"102,63 m²",3,,,,,1900,,Modernisiert,,Gas,,Verbrauchsausweis,,Covivio Immobilien GmbH Am Steinberg 6 13086 Berlin,"Friedrich-Engels-Str. 23, 13156 Berlin, Niederschönhausen (Pankow)"
"2 große Balkone, denn der nächste Sommer kommt bestimmt - Neubau Erstbezug",https://www.immobilienscout24.de/expose/115124435,2.100 €,400 €,in Nebenkosten enthalten,2.500 €,3 Nettokaltmieten,4,120 m²,4,3,2,True,True,2019,,Erstbezug,Zentralheizung,Fernwärme,liegt vor,Verbrauchsausweis,,Claudia Germershausen Concept Immobilien Regensburger Str. 31 10777 Berlin,"Heilbronner Str. 10, 10711 Berlin, Wilmersdorf (Wilmersdorf)"
Westhafen U-Birkenstraße - Charmante 2 Zimmer - Parkett - EBK - Dusche ca. 56m² - 670 € warm,https://www.immobilienscout24.de/expose/115218748,558 €,112 €,inkl. 39 €,670 €,3x Nettokaltmiete,,"51,06 m²",2,,,,True,1905,,Modernisiert,Zentralheizung,Fernwärme,liegt vor,Verbrauchsausweis,"76,1 kWh/(m²*a)",Stadthaus Verwaltungsgesellschaft mbH Franklinstr. 28/ 29 10587 Berlin,"Emdener Str. 39, 10551 Berlin, Tiergarten (Tiergarten)"
Neuer Preis: Großzügige Dachgeschoss-Maisonette in Ku'Damm-Nähe -Spacious apartment close to Ku'Damm,https://www.immobilienscout24.de/expose/113389306,2.995 €,500 €,nicht in Nebenkosten enthalten,3.495 € (zzgl. Heizkosten),"6.000,- EUR",5 von 5,170 m²,5,3,2,,True,1905,zuletzt 2016,Vollständig renoviert,Etagenheizung,Gas,laut Gesetz nicht erforderlich,,,MesseReal Stephanstr. 61 10559 Berlin,"10629 Berlin, Charlottenburg (Charlottenburg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
5 Zimmer Dachgeschosswohnung mit Dachterrasse und EBK!,https://www.immobilienscout24.de/expose/115578439,1.360 €,300 €,in Nebenkosten enthalten,1.660 €,"4.080,00",2 von 2,"143,07 m²",5,4,2,,True,1977,,Modernisiert,Zentralheizung,Gas,liegt vor,Verbrauchsausweis,,Harry Gerlach Wohnungsunternehmen GmbH Berliner Str. 120 10713 Berlin,"Wünsdorfer Straße 16, 12307 Berlin, Lichtenrade (Tempelhof)"
Großzügige Dachgeschosswohnung mit Terrasse und EBK!,https://www.immobilienscout24.de/expose/115580380,"1.199,25 €","287,82 €",in Nebenkosten enthalten,"1.487,07 €",3 Nettokaltmieten,,"95,94 m²",4,3,1,,True,1905,zuletzt 2020,Gepflegt,Gas-Heizung,Gas,liegt vor,Verbrauchsausweis,,TRENDCITY GmbH Kurfürstendamm 67 10707 Berlin,"12459 Berlin, Oberschöneweide (Köpenick) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
für 1 jahr: 3 zi-whg zw. kurfürstendamm u. mommsen VH 2. og u. aufzug,https://www.immobilienscout24.de/expose/115473791,3.300 €,670 €,in Nebenkosten enthalten,3.970 €,"9.900,00 EUR",2 von 4,200 m²,3,2,1,True,True,1900,zuletzt 2014,Neuwertig,Zentralheizung,Fernwärme,liegt vor,Verbrauchsausweis,,reco Immobilienbüro petra hubertus Schumannstrasse 1 berta 10117 Berlin,"10629 Berlin, Charlottenburg (Charlottenburg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
"PARAGON Apartments - 7 Zimmer mit 2 Terrassen, großer Küche und Gallerie",https://www.immobilienscout24.de/expose/112436566,4.099 €,"954,11 €",in Nebenkosten enthalten,"5.053,11 €","12.297,00",6 von 6,"254,43 m²",7,6,3,True,True,2016,,Neuwertig,Zentralheizung,Fernwärme,,Bedarfsausweis,,STRATEGIS AG Torstraße 49 10119 Berlin,"Danziger Straße 73, 10435 Berlin, Prenzlauer Berg (Prenzlauer Berg)"
PARAGON Apartments - 3 Zimmer mit 2 Terrassen und Blick über Berlin,https://www.immobilienscout24.de/expose/114844704,1.849 €,370 €,in Nebenkosten enthalten,2.219 €,,6 von 7,"99,15 m²",3,2,1,True,True,2016,,Neuwertig,Zentralheizung,Fernwärme,,Bedarfsausweis,,STRATEGIS AG Torstraße 49 10119 Berlin,"Danziger Straße 77, 10405 Berlin, Prenzlauer Berg (Prenzlauer Berg)"
3 Zimmerwohnungen WG-geeignet-Erstbezug nach Neubau der 5 Etage,https://www.immobilienscout24.de/expose/115391090,1.422 €,79 €,39 €,1.540 €,4266 EUR,5 von 5,79 m²,3,1,1,,,1956,,Erstbezug,Fußbodenheizung,Gas,liegt vor,Bedarfsausweis,,immo-for-less Privat vom Eigentümer,"Ruppinerstraße 35-36, 13355 Berlin, Wedding (Wedding)"
Traummaisonette mit 2 großzügigen Balkonen in Traumlage im P'berg gesucht?,https://www.immobilienscout24.de/expose/115442980,"1.698,64 €","319,74 €","inkl. 149,88 €","2.018,38 €",3 Nettokaltmieten,5 von 5,"99,92 m²",3,2,1,,,unbekannt,,Saniert,Zentralheizung,,,,,Nudelmann & Friends Immobilien GmbH Kurfürstendamm 133 10711 Berlin,"Oderberger Straße 51/ 52, 10435 Berlin, Prenzlauer Berg (Prenzlauer Berg)"
schöne 3-zi-terrassen-whg mit großen fenstern EBK u. aufzug erstbezug,https://www.immobilienscout24.de/expose/114294891,2.490 €,322 €,in Nebenkosten enthalten,2.812 €,"7.470,00 EUR",2 von 5,"100,7 m²",3,2,1,True,True,2019,,Erstbezug,Zentralheizung,Gas,,Verbrauchsausweis,"120,8 kWh/(m²*a)",reco Immobilienbüro petra hubertus Schumannstrasse 1 berta 10117 Berlin,"10435 Berlin, Prenzlauer Berg (Prenzlauer Berg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
Luxuswohnung im Haus von Ralf Schmitz im Grunewald,https://www.immobilienscout24.de/expose/91496497,2.938 €,512 €,in Nebenkosten enthalten,3.550 €,3 Kaltmieten,1 von 3,113 m²,3,2,2,True,True,2014,,Neuwertig,Fußbodenheizung,Gas,liegt vor,Bedarfsausweis,,Berlin Property Partner Neue Grünstrasse 2 10179 Berlin,"Goldfinkweg 40, 14195 Berlin, Schmargendorf (Wilmersdorf)"
Schöne Dachgeschoss Wohnung,https://www.immobilienscout24.de/expose/107963469,1.544 €,120 €,keine Angabe,1.664 € (zzgl. Heizkosten),4632,5 von 5,"96,5 m²",3,2,1,,True,,,Erstbezug,,Gas,,,,Gral Immobilien und Hausverwaltungs GmbH Blankenburger Strasse 23 13089 Berlin - Heinersdorf,"Alt-Moabit 46, 10555 Berlin, Tiergarten (Tiergarten)"
"schöne 2-zi-whg mit 2 terrassen, großen fenstern EBK u. aufzug erstbezug",https://www.immobilienscout24.de/expose/114289429,1.998 €,253 €,in Nebenkosten enthalten,2.251 €,"5.994,00 EUR",3 von 5,"79,05 m²",2,1,1,True,True,2019,,Erstbezug,Zentralheizung,Gas,,Verbrauchsausweis,"120,8 kWh/(m²*a)",reco Immobilienbüro petra hubertus Schumannstrasse 1 berta 10117 Berlin,"10435 Berlin, Prenzlauer Berg (Prenzlauer Berg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
Lichtenberg! Schicke 2 Zimmerwohnung ca. 63 m² - Balkon - Tageslicht Wannenbad - 799 € warm,https://www.immobilienscout24.de/expose/101477241,646 €,153 €,inkl. 60 €,799 €,3x Nettokaltmiete,1 von 4,"62,81 m²",2,,,,,1910,,,Zentralheizung,Fernwärme,liegt vor,Verbrauchsausweis,89 kWh/(m²*a),Stadthaus Verwaltungsgesellschaft mbH Franklinstr. 28/ 29 10587 Berlin,"Alt-Friedrichsfelde 122, 10315 Berlin, Friedrichsfelde (Lichtenberg)"
Traumhafte 4-Zimmer-Wohnung im EG mit Terrasse und Privatgarten,https://www.immobilienscout24.de/expose/114535364,"2.151,66 €","267,34 €","106,93 €","2.525,93 €",6454.98,0 von 5,"153,69 m²",4,3,2,True,True,2009,,Gepflegt,Zentralheizung,Erdgas schwer,liegt vor,Verbrauchsausweis,,allod Immobilien- und Vermögensverwaltungsges. mbH & Co. KG Culemeyerstraße 2 12277 Berlin,"Galenusstr. 63 B, 13187 Berlin, Pankow (Pankow)"
Kudammnähe - Erstbezug nach umfassender Sanierung in der Niebuhrstraße 61 - Aufzug-EBK-Parkett-Stuck,https://www.immobilienscout24.de/expose/113353445,2.584 €,214 €,204 €,3.002 €,,3,"163,19 m²",5,3,2,True,True,1900,zuletzt 2019,Erstbezug nach Sanierung,Zentralheizung,Fernwärme,liegt vor,Bedarfsausweis,,CITY-CONCEPT Gesellschaft für Immobilienmanagement mbH Niebuhrstraße 19 c 10629 Berlin,"Niebuhrstraße 61, 10629 Berlin, Charlottenburg (Charlottenburg)"
Wunderschöne neuerstellte Wohnung,https://www.immobilienscout24.de/expose/114724263,2.090 €,200 €,200 €,2.490 €,6270,1 von 5,"143,97 m²",4,3,2,True,True,1900,zuletzt 2020,Erstbezug nach Sanierung,Gas-Heizung,Gas,liegt vor,Verbrauchsausweis,97 kWh/(m²*a),Stuck & Füting Immobilienconsult,"Scharnhorststraße 25, 10115 Berlin, Mitte (Mitte)"
"Neubau! 2 Zimmer, 2 Dachterrassen - Ein Traum von Wohnung wartet auf Sie!",https://www.immobilienscout24.de/expose/115203770,920 €,215 €,in Nebenkosten enthalten,1.135 €,"2760,00",4 von 4,"71,63 m²",2,1,1,True,True,2019,,,Fußbodenheizung,,liegt vor,Bedarfsausweis,,Müller Merkle Immobilien GmbH Chausseestraße 22 10115 Berlin,"Nantesstraße 78, 13127 Berlin, Französisch Buchholz (Pankow)"
Modernes Wohnen am Park - 3 Zimmer mit S/W Balkon,https://www.immobilienscout24.de/expose/85029910,"1.686,60 €",313 €,in Nebenkosten enthalten,"1.999,60 €","5.058,00 EUR",6 von 7,"112,44 m²",3,2,2,True,True,2015,,Neuwertig,Fernwärme,,liegt vor,Bedarfsausweis,,B² Immobilien-Geldanlagen-Versicherungen Eichner Dorfstr. 1a 16356 Ahrensfelde OT Eiche,"Flottwellstr. 44, 10785 Berlin, Tiergarten (Tiergarten)"
Erstbezug ab August 2020: moderne 2-Zimmer-Wohnung in Berlin-Pankow mit Balkon im 1. OG,https://www.immobilienscout24.de/expose/115545018,850 €,180 €,in Nebenkosten enthalten,1.030 €,2550,1 von 3,"59,57 m²",2,1,1,,True,2019,,,Fußbodenheizung,Fernwärme,liegt vor,Bedarfsausweis,,Müller Merkle Immobilien GmbH Chausseestraße 22 10115 Berlin,"Nesselweg 17, 13158 Berlin, Rosenthal (Pankow)"
Super 2 Zimmerwohnung,https://www.immobilienscout24.de/expose/115269165,"693,63 €","92,48 €","85,87 €","871,98 €","2.080,85",0 von 6,"66,06 m²",2,1,1,True,True,1994,,Gepflegt,Zentralheizung,Fernwärme,liegt vor,Verbrauchsausweis,92 kWh/(m²*a),DIM Holding AG Potsdamer Str. 188 10738 Berlin,"Simon-Bolivar-Str. 18A, 13055 Berlin, Alt-Hohenschönhausen (Hohenschönhausen)"
Erstbezug: attraktive 4-Zimmer-Penthouse-Wohnung mit 2 Terrassen in Berlin-Mahlsdorf,https://www.immobilienscout24.de/expose/114822680,1.430 €,220 €,in Nebenkosten enthalten,1.650 €,3 Netto-Monatsmieten,3 von 3,125 m²,4,,1,,,2020,,Erstbezug,Gas-Heizung,Gas,liegt zur Besichtigung vor,,,,"Pfarrhufenanger 24, 12623 Berlin, Mahlsdorf (Hellersdorf)"
Neubauwohnung zu vermieten im Herzen von Berlin,https://www.immobilienscout24.de/expose/114100400,1.250 €,250 €,keine Angabe,1.500 € (zzgl. Heizkosten),3000.00 EUR,2 von 4,60 m²,2,1,1,True,True,2017,,Neuwertig,Fußbodenheizung,Fernwärme,liegt vor,Bedarfsausweis,,immo-for-less Privat vom Eigentümer,"Hallesche Str. 6 a, 10963 Berlin, Kreuzberg (Kreuzberg)"
Hochwertige Penthouse Wohnung mit zwei sonnigen Terrassen und EBK,https://www.immobilienscout24.de/expose/114622500,"1.988,08 €","90,78 €","181,56 €","2.260,42 €","5.964,24",3 von 3,"136,17 m²",4,3,2,True,True,,,Neuwertig,Blockheizkraftwerke,,liegt zur Besichtigung vor,,,DGIM Deutsche Gesellschaft für Immobilienmanagement mbH Mariendorfer Damm 161a 12107 Berlin,"Glienicker Straße 6, 13467 Berlin, Hermsdorf (Reinickendorf)"
"Mariendorf, Altbau, 1.OG: Schöne 2-Zimmer-Wohnung!",https://www.immobilienscout24.de/expose/115471482,599 €,96 €,94 €,789 €,"1.797,00 €",1,"59,76 m²",2,,1,,,1914,,Gepflegt,Zentralheizung,Gas,liegt vor,Verbrauchsausweis,,Becker & Kries Immobilien Management GmbH,"Kaiserstraße 143, 12105 Berlin, Mariendorf (Tempelhof)"
Friedrichshain - Rigaerstraße - Charmantes Singleappartement - EBK - Tageslichtbad - 593 € warm,https://www.immobilienscout24.de/expose/89770987,515 €,78 €,inkl. 17 €,593 €,3 x Nettokaltmiete,2,"36,08 m²",1,,,,True,1908,zuletzt 2016,Modernisiert,Zentralheizung,Gas,liegt vor,Verbrauchsausweis,122 kWh/(m²*a),Stadthaus Verwaltungsgesellschaft mbH Franklinstr. 28/ 29 10587 Berlin,"Proskauerstraße 13, 10247 Berlin, Friedrichshain (Friedrichshain)"
Möbliertes Apartment (direkter Wasserlage),https://www.immobilienscout24.de/expose/115250432,600 €,150 €,in Nebenkosten enthalten,750 €,1000,2 von 3,43 m²,1,,,,,1980,,Erstbezug,Zentralheizung,Erdgas leicht,,,,,"13505 Berlin, Konradshöhe (Reinickendorf) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
"Spandau-Haselhorst: 1,5-Zimmer, Wintergarten, Parkett!",https://www.immobilienscout24.de/expose/115458559,508 €,138 €,76 €,722 €,"1.524,00 €",3,"52,65 m²","1,1",,1,True,True,1995,,Gepflegt,Zentralheizung,Fernwärme,liegt vor,Verbrauchsausweis,,Becker & Kries Immobilien Management GmbH,"Gartenfelder Str. 74 c, 13599 Berlin, Haselhorst (Spandau)"
"Etagenwohnung mit Balkon - teilmöbliert, 91 qm, Nähe Hbf.",https://www.immobilienscout24.de/expose/107842244,1.199 €,100 €,nicht in Nebenkosten enthalten,1.299 € (zzgl. Heizkosten),"2000,00 EUR",1 von 4,91 m²,2,1,1,,True,1900,zuletzt 2019,Modernisiert,Etagenheizung,Gas,liegt vor,Bedarfsausweis,,HV Zentel Feldzeugmeisterstr. 4 10557 Berlin,"Feldzeugmeisterstraße 4, 10557 Berlin, Tiergarten (Tiergarten)"
"Helle, Vollmöblierte 1-Zi-Wohnung (+ sonniger Balkon) – Traumhafte Lage am Checkpoint Charlie + TG",https://www.immobilienscout24.de/expose/115400717,650 €,345 €,in Nebenkosten enthalten,995 €,1950,3 von 6,50 m²,1,,1,True,True,,,Gepflegt,,,liegt vor,,,,"Friedrichstr. 211, 10969 Berlin, Kreuzberg (Kreuzberg)"
"Ruhige, helle 2 Zimmer Neubau Erstbezug Nähe Kantstraße",https://www.immobilienscout24.de/expose/114066294,1.420 €,140 €,80 €,1.640 €,2840,1 von 6,"98,72 m²",2,,,True,True,2020,,Erstbezug,Gas-Heizung,Gas,liegt vor,Bedarfsausweis,,P. D. Immobilien Misdroyer Str. 52 14199 Berlin,"Herderstr. 3, 10625 Berlin, Charlottenburg (Charlottenburg)"
"Attraktive 3-Zimmer-Wohnung Neukölln, Berlin/ BESICHTIGUNGSTERMIN 03.03.2020",https://www.immobilienscout24.de/expose/115620567,800 €,120 €,50 €,920 €,,4 von 4,65 m²,3,,1,True,,1996,,,,,,,,,"12051 Berlin, Neukölln (Neukölln) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
"Schöne, großzügige Altbauwohnung - hundefreundlich, nicht WG-geeignet",https://www.immobilienscout24.de/expose/114127110,"2.739,24 €",302 €,inkl. 211 €,"3.252,24 €","8.217,72",2 von 3,"228,27 m²","6,5",4,2,True,True,1915,zuletzt 2019,Vollständig renoviert,Fernwärme,Fernwärme,liegt vor,,,Handelsgesellschaft für Grundbesitz mbH Hohenzollerndamm 82 14199 Berlin,"Ruhlaer Str. 14, 14199 Berlin, Schmargendorf (Wilmersdorf)"
"Ruhige, helle 3 Zimmer Neubau Erstbezug Nähe Kantstraße",https://www.immobilienscout24.de/expose/114067213,1.790 €,190 €,100 €,2.080 €,3580,1 von 6,"122,27 m²",3,,,True,True,2020,,Erstbezug,Gas-Heizung,Gas,liegt vor,Bedarfsausweis,,P. D. Immobilien Misdroyer Str. 52 14199 Berlin,"Herderstr. 3, 10625 Berlin, Charlottenburg (Charlottenburg)"
Altbauwohnung im Szenekiez - modern - schönes Bad - Top Einbauküche,https://www.immobilienscout24.de/expose/113870768,1.400 €,100 €,inkl. 75 €,1.575 €,4200,1 von 5,76 m²,2,1,1,,True,1900,zuletzt 2020,Erstbezug,Fernwärme,Fernwärme,liegt zur Besichtigung vor,,,,"10967 Berlin, Kreuzberg (Kreuzberg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
"Erstbezug Familienwohnung (160 m², 7 Zimmer) in Weißensee Gemeinschaftsprojekt (Genossenschaft)",https://www.immobilienscout24.de/expose/115174027,"1.763,63 €","368,76 €","112,23 €","2.244,62 €",80.000,5 von 5,"160,33 m²",7,6,2,True,,2019,,Erstbezug,Fernwärme,Nahwärme,liegt vor,Bedarfsausweis,,BeGeno16 eG,"Brodenbacher Weg 36, 13088 Berlin, Weißensee (Weißensee)"
2 Zimmer WHG mit Garten EBK und FBH Abstand gesenkt Bohnsdorf (Treptow) Berlin,https://www.immobilienscout24.de/expose/114944877,800 €,125 €,in Nebenkosten enthalten,925 €,Deutschland,,65 m²,2,,1,,True,1998,,Gepflegt,Fußbodenheizung,Gas,laut Gesetz nicht erforderlich,,,,"Theodor-Körner-Str. 00, 12526 Berlin, Bohnsdorf (Treptow)"
"Sanierte 3- Zimmerwohnung im Grünen, nahe S-Bahnhof Frohnau",https://www.immobilienscout24.de/expose/115135299,1.030 €,350 €,keine Angabe,1.380 € (zzgl. Heizkosten),,1 von 2,105 m²,3,,,,,1965,,Saniert,Öl-Heizung,,liegt zur Besichtigung vor,,,IVM Group 13465 Berlin,"13465 Berlin, Frohnau (Reinickendorf) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
Wohnen im Kiez Berlin-Neukölln,https://www.immobilienscout24.de/expose/110128667,832 €,160 €,32 €,1.024 €,2.496,1 von 5,"31,99 m²",2,1,1,True,True,2019,,Erstbezug,,,liegt vor,,,TIOS Immobilienmanagement GmbH Am Volkspark 31 10715 Berlin,"Silbersteinstr. 54, 12501 Berlin, Neukölln (Neukölln)"
"Erstbezug Familien-Wohnung (5,5 Zimmer) in Gemeinschaftsprojekt",https://www.immobilienscout24.de/expose/115189672,"1.639,33 €","342,77 €","104,32 €","2.086,42 €",75.000,4 von 5,"149,03 m²","5,5",5,2,True,,2019,,Erstbezug,Fernwärme,Nahwärme,liegt vor,Bedarfsausweis,,BeGeno16 eG,"Wittlicher Straße 24, 13088 Berlin, Weißensee (Weißensee)"
Großzügiges Maisonette Penthouse mit Südwest-Dachterrasse und Spreeblick,https://www.immobilienscout24.de/expose/115005513,3.196 €,677 €,in Nebenkosten enthalten,3.873 €,,6 von 6,230 m²,6,3,3,True,True,2002,zuletzt 2011,Gepflegt,Zentralheizung,Fernwärme,liegt vor,Bedarfsausweis,,CITY-CONCEPT Gesellschaft für Immobilienmanagement mbH Niebuhrstraße 19c 10629 Berlin,"Helgoländer Ufer 7, 10557 Berlin, Tiergarten (Tiergarten)"
Wohnen im schönen Stuckaltbau im ruhigen Innenhof,https://www.immobilienscout24.de/expose/113994556,"812,50 €",keine Angabe,keine Angabe,"812,50 € (zzgl. Nebenkosten & Heizkosten)",,,65 m²,2,1,1,,True,1900,,Modernisiert,Gas-Heizung,,,,,Premium Property UG,"12587 Berlin, Friedrichshagen (Köpenick) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
"880 €, 58 m², 2 Zimmer",https://www.immobilienscout24.de/expose/114543736,880 €,0 €,inkl. 0 €,880 €,1500,1 von 5,58 m²,2,1,1,True,True,1972,zuletzt 2020,Erstbezug nach Sanierung,Zentralheizung,Öl,liegt vor,Bedarfsausweis,,,"Falkenhagener Straße 32, 13585 Berlin, Spandau (Spandau)"
"112qm - Exklusive, geräumige und sanierte 3-Zimmer-Wohnung mit EBK in Kreuzberg, Berlin",https://www.immobilienscout24.de/expose/115402400,2.100 €,0 €,in Nebenkosten enthalten,2.100 €,"4200,00",4 von 5,112 m²,3,,1,,True,,,Saniert,Zentralheizung,Gas,liegt vor,,,,"Friesenstraße 19a, 10965 Berlin, Kreuzberg (Kreuzberg)"
"1 Zimmer Apartment ab 1 Juni 2020 mit EBK und komplett ausgestattet in Schöneberg, Berlin",https://www.immobilienscout24.de/expose/114093213,1.100 €,0 €,in Nebenkosten enthalten,1.100 €,2200€,6 von 12,44 m²,1,,1,True,True,unbekannt,zuletzt 2018,Saniert,,,liegt zur Besichtigung vor,,,,"Hauptstraße 93, 12159 Berlin, Schöneberg (Schöneberg)"
Außergewöhnliche Luxus-Dachgeschoßwohnung im Joseph Haydn Palais mit Weitblick über Berlin,https://www.immobilienscout24.de/expose/114913695,3.950 €,550 €,in Nebenkosten enthalten,4.500 €,,5 von 5,230 m²,4,2,2,True,True,1887,zuletzt 2016,Neuwertig,Zentralheizung,,laut Gesetz nicht erforderlich,,,CITY-CONCEPT Gesellschaft für Immobilienmanagement mbH Niebuhrstraße 19 c 10629 Berlin,"Joseph-Haydn-Straße 1, 10557 Berlin, Tiergarten (Tiergarten)"
